"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"76","Tata Communications Limited","TATACOMM","P&F | F.A","-0.88%","1719.8","2,64,577"
"199","National Aluminium Company Limited","NATIONALUM","P&F | F.A","-0.89%","190","50,49,308"
"149","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","-0.94%","541.95","15,70,823"
"40","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","-1.18%","3357.6","7,83,432"
"130","Fortis Healthcare Limited","FORTIS","P&F | F.A","-1.3%","768.8","3,66,755"
"19","Abb India Limited","ABB","P&F | F.A","-1.39%","6082","99,847"
"17","Tata Elxsi Limited","TATAELXSI","P&F | F.A","-1.42%","6610","69,993"
"67","Bharat Dynamics Ltd","BDL","P&F | F.A","-1.74%","1933","8,03,719"
"12","Oracle Financial Services Software Limited","OFSS","P&F | F.A","-1.91%","9311","1,36,573"
"14","Multi Commodity Exchange Of India Limited","MCX","P&F | F.A","-1.95%","7737","4,02,751"
"75","Central Depository Services Ltd","CDSL","P&F | F.A","-2.84%","1736.4","30,53,031"
"48","BSE (Bombay stock exchange)","BSE","P&F | F.A","-3.17%","2910","38,30,774"
"92","United Spirits Ltd","UNITDSPR","P&F | F.A","-7.76%","1485","50,58,855"
